episode,podcast,rec_1_episode,rec_1_isCorrect,rec_1_podcast,rec_2_episode,rec_2_isCorrect,rec_2_podcast,rec_3_episode,rec_3_isCorrect,rec_3_podcast,rec_4_episode,rec_4_isCorrect,rec_4_podcast,rec_5_episode,rec_5_isCorrect,rec_5_podcast
273- Put Your Heart In It,this-american-life,"Weekly Roundup: Thursday, March 1",,npr-politics-podcast,"Radio Replay: Life, Interrupted",,hidden-brain,"Weekly Roundup: Thursday, July 27 ",,npr-politics-podcast,334- Duty Calls,,this-american-life,"Weekly Roundup: Thursday, July 7 ",,npr-politics-podcast
274- Enemy Camp ‘04,this-american-life,523- Death and Taxes,,this-american-life,"Weekly Roundup: Thursday, March 7",,npr-politics-podcast,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,435- How To Create a Job,,this-american-life,386- Fine Print,,this-american-life
275- Two Steps Back,this-american-life,#829: Rigging The Economy,,planet-money,449- Middle School,,this-american-life,74- Conventions,,this-american-life,602- The Sun Comes Up,,this-american-life,372- The Inauguration Show,,this-american-life
276- Swing Set,this-american-life,"#884: The Rest Of The Story, Winter 2018",,planet-money,Attempt To Get More People On Board With Organ Donation Backfires,,hidden-brain,Police Videos: North Miami,,embedded,When Oracles Err,,the-indicator-from-planet-money,Researchers Unravel Strange And Contradictory Feelings About Power,,hidden-brain
277- Apology,this-american-life,"67- Your Dream, My Nightmare",,this-american-life,323- The Super,,this-american-life,30- Obsession,,this-american-life,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,627- Suitable for Children,,this-american-life
278- Spies Like Us,this-american-life,380- No Map,,this-american-life,Bag O' Worms & The Velocity Of Poop,,wow-in-the-world,Why Are Kids Who Get Less Candy Happier On Halloween?,,hidden-brain,574- Sinatra’s 100th Birthday,,this-american-life,Are Independents Just Partisans In Disguise?,,hidden-brain
279- Auto Show,this-american-life,615- The Beginning of Now,,this-american-life,336- Who Can You Save?,,this-american-life,"Weekly Roundup: Thursday, November 17",,npr-politics-podcast,"Wednesday, November 2",,npr-politics-podcast,"Weekly Roundup: Thursday, August 30",,npr-politics-podcast
28- Detectives,this-american-life,"Trump Vs. The Fed, Or Trump Vs... Trump? ",,the-indicator-from-planet-money,How President Trump's Rhetoric Is Changing The Way Americans Talk,,hidden-brain,#885: Do It For Your Country,,planet-money,539- The Leap,,this-american-life,173- Three Kinds of Deception,,this-american-life
280- In Country,this-american-life,200- Hearts and Minds,,this-american-life,141- Invisible Worlds,,this-american-life,499- Taking Names,,this-american-life,"'Man Up': How A Fear Of Appearing Feminine Restricts Men, And Affects Us All",,hidden-brain,120- Be Careful Who You Pretend to Be,,this-american-life
281- My Big Break,this-american-life,6- Christmas,,this-american-life,523- Death and Taxes,,this-american-life,"Weekly Roundup: Thursday, March 7",,npr-politics-podcast,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,435- How To Create a Job,,this-american-life
282- DIY,this-american-life,Chapter 2 Transcript,,S-Town,Stroke of Genius: How Derek Amato Became a Musical Savant  ,,hidden-brain,#871: Blacklisted In China,,planet-money,495- Hot In My Backyard,,this-american-life,"Weekly Roundup: Thursday, June 28",,npr-politics-podcast
283- Remember Me,this-american-life,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,,hidden-brain,"Weekly Roundup: Thursday, June 14",,npr-politics-podcast,121- Twentieth Century Man,,this-american-life,"Weekly Roundup: Thursday, August 17",,npr-politics-podcast,"Sunday, November 6",,npr-politics-podcast
284- Should I Stay or Should I Go?,this-american-life,Politics Podcast Pop Up,,codeswitch,55- Three Women and the Sex Industry,,this-american-life,266- I'm From the Private Sector and I'm Here to Help,,this-american-life,You 2.0: Originals,,hidden-brain,205- Plan B,,this-american-life
285- Know Your Enemy,this-american-life,"Weekly Roundup: Thursday, December 15",,npr-politics-podcast,205- Plan B,,this-american-life,195- War Stories,,this-american-life,"Weekly Roundup: Thursday, September 6",,npr-politics-podcast,"Weekly Roundup: Thursday, September 7",,npr-politics-podcast
287- Backed Into A Corner,this-american-life,323- The Super,,this-american-life,526- Is That What I Look Like?,,this-american-life,"67- Your Dream, My Nightmare",,this-american-life,30- Obsession,,this-american-life,Episode 1,,Mogul The Life and Death of Chris Lighty
288- Not What I Meant,this-american-life,Rap on Trial: How An Aspiring Musician's Words Led To Prison Time,,hidden-brain,Rap on Trial: How An Aspiring Musician's Words Led To Prison Time ,,hidden-brain,578- I Thought I Knew You,,this-american-life,368- Who Do You Think You Are?,,this-american-life,296- After the Flood,,this-american-life
289- Go Ask Your Father,this-american-life,425- Slow To React,,this-american-life,86- How to Take Money from Strangers,,this-american-life,"Weekly Roundup: Thursday, August 17",,npr-politics-podcast,"Weekly Roundup: Thursday, September 13",,npr-politics-podcast,"Friday, November 4 ",,npr-politics-podcast
29- Bob Dole,this-american-life,370- Ruining It for the Rest of Us,,this-american-life,Stroke of Genius: How Derek Amato Became a Musical Savant  ,,hidden-brain,Chapter 2 Transcript,,S-Town,579- My Damn Mind,,this-american-life,"Weekly Roundup: Thursday, June 28",,npr-politics-podcast
290- Godless America,this-american-life,16- Economy,,this-american-life,EPISODE 27,,Mable,439- A House Divided,,this-american-life,Such Cryptocurrency. So Amaze.,,the-indicator-from-planet-money,"Obama, Trump, And Trade",,the-indicator-from-planet-money
291- Reunited (And It Feels So Good),this-american-life,EPISODE 29,,Mable,Episode 3,,Mogul The Life and Death of Chris Lighty,418- Toxie,,this-american-life,Lonely Hearts,,hidden-brain,When Is It 'Terrorism'? How The Media Cover Attacks By Muslim Perpetrators,,hidden-brain
292- The Arms Trader,this-american-life,514- Thought That Counts,,this-american-life,518- Except For That One Thing,,this-american-life,2- Small Scale Sin,,this-american-life,50- Shoulda Been Dead,,this-american-life,203- Recordings for Someone,,this-american-life
293- A Little Bit of Knowledge,this-american-life,380- No Map,,this-american-life,House Judiciary Launches Probe Of Allegations Of Obstruction By President Trump,,npr-politics-podcast,"More Debt, Less Problems",,the-indicator-from-planet-money,Coal Stories 5,,embedded,#881: The Prisoners of the Trade War,,planet-money
294- Image Makers,this-american-life,The Haunting Effects Of Going Days Without Sleep,,hidden-brain,54- Sinatra,,this-american-life,Trump Stories: Collusion,,embedded,Weekly Roundup: Thursday May 11 ,,npr-politics-podcast,"Weekly Roundup: Friday, March 24",,npr-politics-podcast
295- Not What I Signed Up For,this-american-life,Why Is Your Boss Bad At His Job? It May Be The 'Peter Principle' At Work ,,hidden-brain,"#884: The Rest Of The Story, Winter 2018",,planet-money,Infinity Mirror Part Five,,Mable,The Original Bailout,,the-indicator-from-planet-money,Are Independents Just Partisans In Disguise?,,hidden-brain
296- After the Flood,this-american-life,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,435- How To Create a Job,,this-american-life,386- Fine Print,,this-american-life,210- Perfect Evidence,,this-american-life,523- Death and Taxes,,this-american-life
297- This Is Not My Beautiful House,this-american-life,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,386- Fine Print,,this-american-life,210- Perfect Evidence,,this-american-life,435- How To Create a Job,,this-american-life,523- Death and Taxes,,this-american-life
298- Getting and Spending,this-american-life,EPISODE 10,,Mable,I Can't Believe It's Not Budget,,the-indicator-from-planet-money,Why College Freshmen May Feel Like Impostors On Campus,,hidden-brain,Space Economics,,the-indicator-from-planet-money,Jobs: 10 Questions in 10 Minutes,,the-indicator-from-planet-money
299- Back from the Dead,this-american-life,EPISODE 29,,Mable,"Weekly Roundup: Friday, March 1",,npr-politics-podcast,"Weekly Roundup: Thursday, October 5",,npr-politics-podcast,"Weekly Roundup: Thursday, September 21 ",,npr-politics-podcast,"Weekly Roundup: Thursday, August 24",,npr-politics-podcast
3- Poultry Slam 1995,this-american-life,425- Slow To React,,this-american-life,Getting A Foot In the Door,,codeswitch,"Weekly Roundup: Thursday, July 7 ",,npr-politics-podcast,"Radio Replay: Life, Interrupted",,hidden-brain,We're Going To Start A Dialogue...Again.,,codeswitch
30- Obsession,this-american-life,35- Fall Clearance Sale,,this-american-life,"Weekly Roundup: Thursday, October 25",,npr-politics-podcast,"Weekly Roundup: Thursday, February 1",,npr-politics-podcast,Why Now? ,,hidden-brain,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo ,,hidden-brain
300- What’s In A Number?,this-american-life,The Original Bailout,,the-indicator-from-planet-money,Are Independents Just Partisans In Disguise?,,hidden-brain,#802: The Hotel at the Center of the World,,planet-money,The Cubic Scoop on Wombat Poop!,,wow-in-the-world,Why Are Kids Who Get Less Candy Happier On Halloween?,,hidden-brain
301- Settling the Score,this-american-life,526- Is That What I Look Like?,,this-american-life,Episode 1,,Mogul The Life and Death of Chris Lighty,How Birth Order Relates To Job Success,,hidden-brain,420- Neighborhood Watch,,this-american-life,Radio Replay: Loving the Lie,,hidden-brain
302- Strangers in a Strange Land,this-american-life,627- Suitable for Children,,this-american-life,30- Obsession,,this-american-life,36- Letters,,this-american-life,#828: You Asked For More,,planet-money,A Year Of Love And Struggle In A New High School,,codeswitch
303- David and Goliath,this-american-life,54- Sinatra,,this-american-life,Why College Freshmen May Feel Like Impostors On Campus,,hidden-brain,Space Economics,,the-indicator-from-planet-money,The Haunting Effects Of Going Days Without Sleep,,hidden-brain,EPISODE 10,,Mable
304- Heretics,this-american-life,The Extremely Cautious Case For Extremely Mild Optimism,,the-indicator-from-planet-money,Politics Podcast Pop Up,,codeswitch,55- Three Women and the Sex Industry,,this-american-life,266- I'm From the Private Sector and I'm Here to Help,,this-american-life,You 2.0: Originals,,hidden-brain
305- The This American Life Holiday Spectacular,this-american-life,"#884: The Rest Of The Story, Winter 2018",,planet-money,479- Little War on the Prairie,,this-american-life,554- Not It!,,this-american-life,6 Decades Of Research Examines Prisoners Of War,,hidden-brain,A Brief History of Tariffs ,,the-indicator-from-planet-money
306- Seemed Like A Good Idea at the Time,this-american-life,425- Slow To React,,this-american-life,We're Going To Start A Dialogue...Again.,,codeswitch,Getting A Foot In the Door,,codeswitch,"Friday, November 4 ",,npr-politics-podcast,"Weekly Roundup: Thursday, September 13",,npr-politics-podcast
307- In the Shadow of the City,this-american-life,#829: Rigging The Economy,,planet-money,607- Didn’t We Solve This One?,,this-american-life,372- The Inauguration Show,,this-american-life,449- Middle School,,this-american-life,74- Conventions,,this-american-life
308- Star-Crossed Love,this-american-life,"Weekly Roundup: Thursday, March 7",,npr-politics-podcast,523- Death and Taxes,,this-american-life,6- Christmas,,this-american-life,418- Toxie,,this-american-life,Episode 3,,Mogul The Life and Death of Chris Lighty
309- Cat and Mouse,this-american-life,615- The Beginning of Now,,this-american-life,"Wednesday, November 2",,npr-politics-podcast,336- Who Can You Save?,,this-american-life,149- Bedside Diplomacy,,this-american-life,"Weekly Roundup: Thursday, June 23 ",,npr-politics-podcast
31- When You Talk About Music,this-american-life,"Weekly Roundup: Thursday, February 1",,npr-politics-podcast,35- Fall Clearance Sale,,this-american-life,Why Now? ,,hidden-brain,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo ,,hidden-brain,"Weekly Roundup: Thursday, October 25",,npr-politics-podcast
310- Habeas Schmabeas,this-american-life,530- Mind Your Own Business,,this-american-life,23- Drama Bug,,this-american-life,The Cheater's High And Other Reasons We Cheat,,hidden-brain,Such Cryptocurrency. So Amaze.,,the-indicator-from-planet-money,"Obama, Trump, And Trade",,the-indicator-from-planet-money
311- A Better Mousetrap,this-american-life,Attempt To Get More People On Board With Organ Donation Backfires,,hidden-brain,"#884: The Rest Of The Story, Winter 2018",,planet-money,Police Videos: North Miami,,embedded,Researchers Unravel Strange And Contradictory Feelings About Power,,hidden-brain,What To Do About Inequality,,the-indicator-from-planet-money
312- How We Talked Back Then,this-american-life,Stroke of Genius: How Derek Amato Became a Musical Savant  ,,hidden-brain,Chapter 2 Transcript,,S-Town,257- What I Should’ve Said,,this-american-life,"Weekly Roundup: Thursday, June 28",,npr-politics-podcast,Crickets And Cannibals: Unpacking The Complicated Emotion Of Disgust,,hidden-brain
313- Parental Guidance Suggested,this-american-life,94- How To,,this-american-life,362- Got You Pegged,,this-american-life,#828: You Asked For More,,planet-money,8- New Year,,this-american-life,Limetown Ep 3 Transcript,,Limetown
314- It's Never Over,this-american-life,#872: The Halloween Tapes,,planet-money,"Weekly Roundup: Thursday, December 21",,npr-politics-podcast,140- Family Business,,this-american-life,"Weekly Roundup: Thursday, May 24",,npr-politics-podcast,478- Red State Blue State,,this-american-life
315- The Parrot and the Potbellied Pig,this-american-life,#845: REDMAP,,planet-money,"Weekly Roundup: Thursday, June 23 ",,npr-politics-podcast,"Weekly Roundup: Thursday, April 13",,npr-politics-podcast,149- Bedside Diplomacy,,this-american-life,615- The Beginning of Now,,this-american-life
316- The Cat Came Back,this-american-life,The 28-Hour Work Week,,the-indicator-from-planet-money,#782: Budget Time,,planet-money,89- Sibling Rivalry,,this-american-life,"Guys, We Have A Problem: How American Masculinity Creates Lonely Men",,hidden-brain,173- Three Kinds of Deception,,this-american-life
317- Unconditional Love,this-american-life,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,523- Death and Taxes,,this-american-life,"Weekly Roundup: Thursday, March 7",,npr-politics-podcast,435- How To Create a Job,,this-american-life,386- Fine Print,,this-american-life
318- With Great Power,this-american-life,"Weekly Roundup: Thursday, March 1",,npr-politics-podcast,"Radio Replay: Life, Interrupted",,hidden-brain,"Weekly Roundup: Thursday, July 27 ",,npr-politics-podcast,334- Duty Calls,,this-american-life,"Weekly Roundup: Thursday, July 7 ",,npr-politics-podcast
319- And the Call Was Coming from the Basement,this-american-life,The Cubic Scoop on Wombat Poop!,,wow-in-the-world,#802: The Hotel at the Center of the World,,planet-money,Are Independents Just Partisans In Disguise?,,hidden-brain,Why Are Kids Who Get Less Candy Happier On Halloween?,,hidden-brain,654- The Feather Heist,,this-american-life
32- Republican Convention,this-american-life,Lonely Hearts,,hidden-brain,373- The New Boss,,this-american-life,When Is It 'Terrorism'? How The Media Cover Attacks By Muslim Perpetrators,,hidden-brain,The 28-Hour Work Week,,the-indicator-from-planet-money,89- Sibling Rivalry,,this-american-life
320- What’s In A Number? — 2006 Edition,this-american-life,380- No Map,,this-american-life,House Judiciary Launches Probe Of Allegations Of Obstruction By President Trump,,npr-politics-podcast,A Snapshot Of Poverty In America,,the-indicator-from-planet-money,Senators Push Trump's Attorney General Pick On Impartiality,,npr-politics-podcast,#881: The Prisoners of the Trade War,,planet-money
321- Sink or Swim,this-american-life,EPISODE 29,,Mable,6- Christmas,,this-american-life,Episode 3,,Mogul The Life and Death of Chris Lighty,418- Toxie,,this-american-life,620- To Be Real,,this-american-life
322- Shouting Across the Divide,this-american-life,How To Fight Racial Bias When It's Silent And Subtle,,hidden-brain,"Me, Myself, and IKEA: What Our Love For Swedish Furniture Says About Narcissism",,hidden-brain,CEO's Voice Tone Can Speak Volumes,,hidden-brain,Why Men Outnumber Women Attending Business Schools,,hidden-brain,The Ins & Outs Of The Minimum Wage,,the-indicator-from-planet-money
323- The Super,this-american-life,302- Strangers in a Strange Land,,this-american-life,"Weekly Roundup: Thursday, February 1",,npr-politics-podcast,133- Sales,,this-american-life,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,,hidden-brain,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo ,,hidden-brain
324- My Brilliant Plan,this-american-life,143- Sentencing,,this-american-life,391- More Is Less,,this-american-life,157- Secret Life of Daytime,,this-american-life,76- Mob,,this-american-life,404- Enemy Camp 2010,,this-american-life
325- Houses of Ill Repute,this-american-life,#871: Blacklisted In China,,planet-money,Aging Up,,the-indicator-from-planet-money,47- Christmas and Commerce,,this-american-life,Do Orchestras Really Need Conductors? ,,hidden-brain,#886: The Price of a Hack,,planet-money
326- Quiz Show,this-american-life,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,523- Death and Taxes,,this-american-life,"Weekly Roundup: Thursday, March 7",,npr-politics-podcast,435- How To Create a Job,,this-american-life,386- Fine Print,,this-american-life
327- By Proxy,this-american-life,35- Fall Clearance Sale,,this-american-life,"Weekly Roundup: Thursday, October 25",,npr-politics-podcast,Why Now? ,,hidden-brain,"Weekly Roundup: Thursday, February 1",,npr-politics-podcast,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo ,,hidden-brain
328- What I Learned from Television,this-american-life,91- Escape the Box,,this-american-life,"Weekly Roundup: Thursday, May 31",,npr-politics-podcast,"Weekly Roundup: Thursday, October 12",,npr-politics-podcast,334- Duty Calls,,this-american-life,"Weekly Roundup: Thursday, July 27 ",,npr-politics-podcast
329- Nice Work If You Can Get It,this-american-life,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,435- How To Create a Job,,this-american-life,386- Fine Print,,this-american-life,210- Perfect Evidence,,this-american-life,523- Death and Taxes,,this-american-life
33- A Night at the Wiener Circle,this-american-life,Homegrown Genome,,wow-in-the-world,Coal Stories 5,,embedded,EPISODE 35,,Mable,"More Debt, Less Problems",,the-indicator-from-planet-money,#881: The Prisoners of the Trade War,,planet-money
330- My Reputation,this-american-life,Trump Adviser Roger Stone Pleads Not Guilty; Acting AG Says Russia Probe May End Soon,,npr-politics-podcast,Aging Up,,the-indicator-from-planet-money,47- Christmas and Commerce,,this-american-life,123- High Cost of Living,,this-american-life,130- Away From Home,,this-american-life
331- Habeas Schmabeas 2007,this-american-life,EPISODE 29,,Mable,EPISODE 27,,Mable,"Weekly Roundup: Thursday, October 18",,npr-politics-podcast,"Weekly Roundup: Thursday, April 5",,npr-politics-podcast,439- A House Divided,,this-american-life
332- The Ten Commandments,this-american-life,161- Million Bubbles,,this-american-life,EPISODE 29,,Mable,EPISODE 27,,Mable,191- I Know What You Did This Summer,,this-american-life,294- Image Makers,,this-american-life
333- The Center for Lessons Learned,this-american-life,The Ins & Outs Of The Minimum Wage,,the-indicator-from-planet-money,China's Social Credit System,,the-indicator-from-planet-money,658- The Unhappy Deciders,,this-american-life,Duck Duck Poop - A Tale Of Symbiosis,,wow-in-the-world,Why Men Outnumber Women Attending Business Schools,,hidden-brain
334- Duty Calls,this-american-life,425- Slow To React,,this-american-life,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,,hidden-brain,"Weekly Roundup: Thursday, August 17",,npr-politics-podcast,86- How to Take Money from Strangers,,this-american-life,121- Twentieth Century Man,,this-american-life
335- Big Wide World,this-american-life,,,,,,,,,,,,,,,
336- Who Can You Save?,this-american-life,"Tariffs And Tourists And Trade Wars, Oh My! ",,the-indicator-from-planet-money,"Tuesday, October 25",,npr-politics-podcast,386- Fine Print,,this-american-life,210- Perfect Evidence,,this-american-life,435- How To Create a Job,,this-american-life
337- Man vs. History,this-american-life,370- Ruining It for the Rest of Us,,this-american-life,290- Godless America,,this-american-life,Rap on Trial: How An Aspiring Musician's Words Led To Prison Time,,hidden-brain,578- I Thought I Knew You,,this-american-life,Rap on Trial: How An Aspiring Musician's Words Led To Prison Time ,,hidden-brain
338- The Spokesman,this-american-life,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo ,,hidden-brain,Why Now? ,,hidden-brain,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,,hidden-brain,"Weekly Roundup: Thursday, February 1",,npr-politics-podcast,"Weekly Roundup: Thursday, October 25",,npr-politics-podcast
339- Break-Up,this-american-life,"#884: The Rest Of The Story, Winter 2018",,planet-money,479- Little War on the Prairie,,this-american-life,554- Not It!,,this-american-life,6 Decades Of Research Examines Prisoners Of War,,hidden-brain,A Brief History of Tariffs ,,the-indicator-from-planet-money
34- Democratic Convention,this-american-life,#872: The Halloween Tapes,,planet-money,341- How to Talk to Kids,,this-american-life,"Weekly Roundup: Thursday, January 25",,npr-politics-podcast,"Weekly Roundup: Thursday, September 15",,npr-politics-podcast,260- The Facts Don’t Matter,,this-american-life
340- The Devil in Me,this-american-life,"Weekly Roundup: Thursday, December 15",,npr-politics-podcast,205- Plan B,,this-american-life,195- War Stories,,this-american-life,"Weekly Roundup: Thursday, September 6",,npr-politics-podcast,"Weekly Roundup: Thursday, September 7",,npr-politics-podcast
341- How to Talk to Kids,this-american-life,"Trump Vs. The Fed, Or Trump Vs... Trump? ",,the-indicator-from-planet-money,How President Trump's Rhetoric Is Changing The Way Americans Talk,,hidden-brain,#885: Do It For Your Country,,planet-money,#782: Budget Time,,planet-money,539- The Leap,,this-american-life
342- How to Rest in Peace,this-american-life,574- Sinatra’s 100th Birthday,,this-american-life,Bag O' Worms & The Velocity Of Poop,,wow-in-the-world,380- No Map,,this-american-life,Trump Stories: The Apprentice,,embedded,The War On Coal,,the-indicator-from-planet-money
343- Poultry Slam 2007,this-american-life,380- No Map,,this-american-life,Bag O' Worms & The Velocity Of Poop,,wow-in-the-world,574- Sinatra’s 100th Birthday,,this-american-life,A Snapshot Of Poverty In America,,the-indicator-from-planet-money,Trump Stories: The Apprentice,,embedded
344- The Competition,this-american-life,EPISODE 29,,Mable,Episode 3,,Mogul The Life and Death of Chris Lighty,418- Toxie,,this-american-life,EPISODE 27,,Mable,620- To Be Real,,this-american-life
345- Ties That Bind,this-american-life,615- The Beginning of Now,,this-american-life,336- Who Can You Save?,,this-american-life,"Weekly Roundup: Thursday, November 17",,npr-politics-podcast,"Wednesday, November 2",,npr-politics-podcast,"Weekly Roundup: Thursday, August 30",,npr-politics-podcast
346- Home Alone,this-american-life,Stroke of Genius: How Derek Amato Became a Musical Savant  ,,hidden-brain,Chapter 2 Transcript,,S-Town,"Weekly Roundup: Thursday, June 28",,npr-politics-podcast,257- What I Should’ve Said,,this-american-life,495- Hot In My Backyard,,this-american-life
347- Matchmakers,this-american-life,EPISODE 29,,Mable,EPISODE 27,,Mable,"Weekly Roundup: Thursday, October 18",,npr-politics-podcast,"Weekly Roundup: Thursday, April 5",,npr-politics-podcast,439- A House Divided,,this-american-life
348- Tough Room,this-american-life,Why Is Your Boss Bad At His Job? It May Be The 'Peter Principle' At Work ,,hidden-brain,"#884: The Rest Of The Story, Winter 2018",,planet-money,Infinity Mirror Part Five,,Mable,The Original Bailout,,the-indicator-from-planet-money,Are Independents Just Partisans In Disguise?,,hidden-brain
349- Valentine’s Day 2008,this-american-life,"Weekly Roundup: Thursday, December 14",,npr-politics-podcast,"Trump Vs. The Fed, Or Trump Vs... Trump? ",,the-indicator-from-planet-money,615- The Beginning of Now,,this-american-life,How President Trump's Rhetoric Is Changing The Way Americans Talk,,hidden-brain,#885: Do It For Your Country,,planet-money
35- Fall Clearance Sale,this-american-life,"Weekly Roundup: Thursday, January 5",,npr-politics-podcast,535- Origin Story 2014,,this-american-life,"Weekly Roundup: Tuesday, November 22",,npr-politics-podcast,"Weekly Roundup: Thursday, August 31",,npr-politics-podcast,284- Should I Stay or Should I Go?,,this-american-life
350- Human Resources,this-american-life,353- The Audacity of Government,,this-american-life,"Weekly Roundup: Thursday, November 1",,npr-politics-podcast,"Weekly Roundup: Thursday, August 24",,npr-politics-podcast,602- The Sun Comes Up,,this-american-life,"Weekly Roundup: Thursday, October 5",,npr-politics-podcast
351- Return to Childhood,this-american-life,"Tuesday, October 25",,npr-politics-podcast,425- Slow To React,,this-american-life,"Weekly Roundup: Thursday, January 5",,npr-politics-podcast,We're Going To Start A Dialogue...Again.,,codeswitch,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,,hidden-brain
352- The Ghost of Bobby Dunbar,this-american-life,Attempt To Get More People On Board With Organ Donation Backfires,,hidden-brain,Researchers Unravel Strange And Contradictory Feelings About Power,,hidden-brain,What To Do About Inequality,,the-indicator-from-planet-money,Police Videos: North Miami,,embedded,When Oracles Err,,the-indicator-from-planet-money
353- The Audacity of Government,this-american-life,I Can't Believe It's Not Budget,,the-indicator-from-planet-money,EPISODE 10,,Mable,"Puerto Rico, My Heart's Devotion",,codeswitch,BANG! Where'd This Universe Come From?!,,wow-in-the-world,The Jobs Report: Where The Ladies At?,,the-indicator-from-planet-money
354- Mistakes Were Made,this-american-life,#866: Modern Monetary Theory,,planet-money,U.S.-China Trade: Where Are We Now?,,the-indicator-from-planet-money,6 Decades Of Research Examines Prisoners Of War,,hidden-brain,#864: The Central (Bankers') Question,,planet-money,Trickle-down Economics: Pricing H2O,,the-indicator-from-planet-money
355- The Giant Pool of Money,this-american-life,535- Origin Story 2014,,this-american-life,"Weekly Roundup: Tuesday, November 22",,npr-politics-podcast,"Weekly Roundup: Thursday, August 31",,npr-politics-podcast,284- Should I Stay or Should I Go?,,this-american-life,264- Special Treatment,,this-american-life
356- The Prosecutor,this-american-life,#818: The Problem Of The Root,,planet-money,Researchers Examine Why Tylenol Affects Empathy,,hidden-brain,The Recession Predictor,,the-indicator-from-planet-money,The Economics Of Happiness And A Country's Income Inequality,,hidden-brain,502- This Call May Be Recorded... To Save Your Life,,this-american-life
357- The Truth Will Out,this-american-life,"Originals: How To Spot One, How To Be One ",,hidden-brain,Stroke of Genius: How Derek Amato Became a Musical Savant  ,,hidden-brain,245- Allure of the Mean Friend,,this-american-life,Crickets And Cannibals: Unpacking The Complicated Emotion Of Disgust,,hidden-brain,"Weekly Roundup: Thursday, January 4",,npr-politics-podcast
358- Social Engineering,this-american-life,425- Slow To React,,this-american-life,Getting A Foot In the Door,,codeswitch,We're Going To Start A Dialogue...Again.,,codeswitch,"Weekly Roundup: Thursday, July 7 ",,npr-politics-podcast,"Friday, November 4 ",,npr-politics-podcast
359- Life After Death,this-american-life,479- Little War on the Prairie,,this-american-life,554- Not It!,,this-american-life,6 Decades Of Research Examines Prisoners Of War,,hidden-brain,A Brief History of Tariffs ,,the-indicator-from-planet-money,Three Indicators To Keep A (Side)eye On ,,the-indicator-from-planet-money
36- Letters,this-american-life,615- The Beginning of Now,,this-american-life,"Weekly Roundup: Thursday, November 17",,npr-politics-podcast,"Weekly Roundup: Thursday, August 30",,npr-politics-podcast,"Weekly Roundup: Thursday, January 4",,npr-politics-podcast,Stroke of Genius: How Derek Amato Became a Musical Savant  ,,hidden-brain
360- Switched at Birth,this-american-life,205- Plan B,,this-american-life,"Weekly Roundup: Thursday, December 15",,npr-politics-podcast,You 2.0: Originals,,hidden-brain,Politics Podcast Pop Up,,codeswitch,195- War Stories,,this-american-life
361- Fear of Sleep,this-american-life,The War On Coal,,the-indicator-from-planet-money,House Judiciary Launches Probe Of Allegations Of Obstruction By President Trump,,npr-politics-podcast,Trump Stories: The Apprentice,,embedded,"The Olympics, Afrofuturism and Sichuan Food",,the-indicator-from-planet-money,#844: Nice Game,,planet-money
362- Got You Pegged,this-american-life,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,,hidden-brain,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo ,,hidden-brain,"Weekly Roundup: Thursday, February 1",,npr-politics-podcast,Why Now? ,,hidden-brain,"Weekly Roundup: Thursday, June 14",,npr-politics-podcast
363- Enforcers,this-american-life,The Ins & Outs Of The Minimum Wage,,the-indicator-from-planet-money,China's Social Credit System,,the-indicator-from-planet-money,Duck Duck Poop - A Tale Of Symbiosis,,wow-in-the-world,Why Men Outnumber Women Attending Business Schools,,hidden-brain,CEO's Voice Tone Can Speak Volumes,,hidden-brain
364- Going Big,this-american-life,574- Sinatra’s 100th Birthday,,this-american-life,Bag O' Worms & The Velocity Of Poop,,wow-in-the-world,"Weekly Roundup: Thursday, June 14",,npr-politics-podcast,121- Twentieth Century Man,,this-american-life,The Psychological Forces Behind A Cultural Reckoning: Understanding #MeToo,,hidden-brain
365- Another Frightening Show About the Economy,this-american-life,580- That's One Way to Do It,,this-american-life,Why College Freshmen May Feel Like Impostors On Campus,,hidden-brain,54- Sinatra,,this-american-life,EPISODE 10,,Mable,Space Economics,,the-indicator-from-planet-money
